mechanism,eps,delta,util_mean,util_std,reid_mean,reid_std,joint,joint_score
laplace,0.75,0.0,0.9385641239457483,0.022660322318618642,0.9351290684624018,0.003635480210268358,0.0034350554833464386,0.0034350554833464386
laplace,1.0,0.0,0.9358046546774781,0.03134941478998402,0.9553030303030302,0.0036487738723389143,-0.019498375625552122,-0.019498375625552122
laplace,1.5,0.0,0.9694787748195018,0.0057039715448467055,0.9664702581369249,0.0043104985871399515,0.003008516682576956,0.003008516682576956
laplace,2.0,0.0,0.9490640624047623,0.01166256366578101,0.976374859708193,0.004997855011944395,-0.02731079730343078,-0.02731079730343078
laplace,4.0,0.0,0.9685805826771959,0.011857413694152734,0.9805555555555555,0.0010343607514683808,-0.01197497287835958,-0.01197497287835958
laplace,8.0,0.0,0.953323282799991,0.021360642804904004,0.9803591470258137,0.006385296482579339,-0.027035864225822714,-0.027035864225822714
laplace,20.0,0.0,0.9652918312402785,0.009063390457611334,0.9795173961840629,0.002358905674184479,-0.014225564943784352,-0.014225564943784352
laplace_bounded,0.05,1e-05,0.5360294033493521,0.13866971037992307,0.07053872053872054,0.005069409065627462,0.46549068281063155,0.46549068281063155
laplace_bounded,0.1,1e-05,0.6752500065399308,0.045923474149949094,0.3053591470258137,0.005148002073769246,0.36989085951411715,0.36989085951411715
laplace_bounded,0.15,1e-05,0.7587233970021817,0.010287075221250273,0.5306397306397307,0.007659932659932687,0.22808366636245103,0.22808366636245103
laplace_bounded,0.175,1e-05,0.7106068734946751,0.019891053059095654,0.6147867564534231,0.01732132894011836,0.09582011704125204,0.09582011704125204
laplace_bounded,0.2,1e-05,0.7728074520872985,0.010959529437144032,0.6881313131313131,0.00835032108581937,0.08467613895598536,0.08467613895598536
laplace_bounded,0.225,1e-05,0.7855007501073127,0.008434519260042022,0.7271604938271605,0.006375857480285334,0.05834025628015216,0.05834025628015216
laplace_bounded,0.25,1e-05,0.7958164305924615,0.029666148403620606,0.7658249158249157,0.0030939353450318203,0.0299915147675458,0.0299915147675458
laplace_bounded,0.3,1e-05,0.8235291367795275,0.016673425371391125,0.7960437710437711,0.0069529842400444805,0.02748536573575644,0.02748536573575644
laplace_bounded,0.35,1e-05,0.8509773308345628,0.03016348379040243,0.8424803591470259,0.011591227977848456,0.008496971687536936,0.008496971687536936
laplace_bounded,0.4,1e-05,0.8866874139865043,0.032048932834763864,0.8565375982042648,0.007585727321904846,0.03014981578223952,0.03014981578223952
laplace_bounded,0.5,1e-05,0.8663105775830205,0.039090708765697174,0.9000841750841752,0.009100646362708048,-0.033773597501154606,-0.033773597501154606
laplace_bounded,0.75,1e-05,0.918603279356172,0.0338403278466656,0.9385802469135802,0.00938630824163233,-0.019976967557408187,-0.019976967557408187
