mechanism,eps,macro_f1_mean,macro_f1_std,f1_N_mean,f1_N_std,f1_S_mean,f1_S_std,f1_V_mean,f1_V_std
laplace,0.1,0.7011784534646196,0.029943289003741633,0.8773973413823226,0.041623067482136775,0.2760721837183912,0.05215263078549616,0.9500658352931453,0.019397799296378717
laplace,0.15,0.7723133012209952,0.03201422418362986,0.9406990164934226,0.023417183273483893,0.45597316994380277,0.1749550224032494,0.92026771722576,0.10198972561583472
laplace,0.175,0.7486054581580852,0.02145707735091103,0.9338146035632101,0.018282242649330142,0.36764285569552896,0.04251636385638091,0.9443589152155165,0.009668615048857734
laplace,0.2,0.7187812277052518,0.040204133393541744,0.9097033996636542,0.03086117896773823,0.354382510068616,0.07191993376244744,0.8922577733834851,0.0627977367474959
laplace,0.225,0.7700594748648174,0.03785677027018302,0.9411362456973754,0.02387288976908082,0.41319988935907964,0.05479795312360504,0.9558422895379969,0.039003559233095425
laplace,0.25,0.8109166577892966,0.029191667769159158,0.9639997687364407,0.006980927731603877,0.5350147925131541,0.09631559909283621,0.9337354121182949,0.05935636502154829
laplace,0.3,0.8195967936325994,0.055411798839162606,0.9608972942495907,0.018534345602998343,0.5267313197036937,0.1440846090892557,0.9711617669445136,0.005868043132039099
laplace,0.35,0.8531876441141372,0.028402213574932143,0.9713991747439708,0.009318748537304983,0.6060858548761577,0.09447595582086238,0.9820779027222827,0.019345711607376435
laplace,0.4,0.8509989227215747,0.008267153501190031,0.9755703489428087,0.002496912847439651,0.604435375920921,0.030435115868439576,0.9729910433009943,0.02288583606341349
laplace,0.5,0.8857633509089742,0.022252018785800853,0.9816608108314432,0.006028819714106408,0.6880123327891848,0.06673705165983461,0.9876169091062943,0.0067578181137535965
laplace,0.75,0.9385641239457483,0.022660322318618642,0.9917094614831958,0.0040830137834865395,0.8358093928040436,0.06289060672200919,0.9881735175500053,0.0022429213913868267
laplace,1.0,0.9358046546774781,0.03134941478998402,0.9913958102378553,0.005705840546954325,0.819860295727494,0.08763292454898462,0.9961578580670851,0.0007921898390204718
laplace,1.5,0.9694787748195018,0.0057039715448467055,0.9963615652201717,0.00064124393518805,0.9197585695081214,0.018621639239189466,0.9923161897302122,0.0031243307758561964
laplace,2.0,0.9490640624047623,0.01166256366578101,0.9945727972157977,0.0005834471587419304,0.8608760631345717,0.02958018722513168,0.9917433268639176,0.006207695652246802
laplace,4.0,0.9685805826771959,0.011857413694152734,0.9963669182614971,0.0012044381811624743,0.9123242583790411,0.03515128229880379,0.9970505713910494,0.0017849457096356298
laplace,8.0,0.953323282799991,0.021360642804904004,0.9953863385504844,0.0028037854237781116,0.8718711737191097,0.0677701958629699,0.9927123361303787,0.006493426583455586
laplace,20.0,0.9652918312402785,0.009063390457611334,0.9962938872219508,0.000963153823541818,0.9061436016458803,0.026013014878889667,0.9934380048530045,0.0026044830396149757
laplace_bounded,0.05,0.5360294033493521,0.13866971037992307,0.5095165919709967,0.36613222468647905,0.12391464185272005,0.041380984635873454,0.9746569762243394,0.015261306423296121
laplace_bounded,0.1,0.6752500065399308,0.045923474149949094,0.9115146607074404,0.0220933745388695,0.33690318718173257,0.1241833573034769,0.7773321717306195,0.13974076934701393
laplace_bounded,0.15,0.7587233970021817,0.010287075221250273,0.9425349969424834,0.004105749609532387,0.4265518271181456,0.03938770856290644,0.9070833669459163,0.06618818194145934
laplace_bounded,0.175,0.7106068734946751,0.019891053059095654,0.9217739489965924,0.0148070664677411,0.3116067312310608,0.015760717760539878,0.898439940256372,0.05073899578750942
laplace_bounded,0.2,0.7728074520872985,0.010959529437144032,0.9434180126147922,0.006331775844612952,0.41289984539746166,0.038859747574333886,0.9621044982496416,0.01599067290532049
laplace_bounded,0.225,0.7855007501073127,0.008434519260042022,0.9514039999867897,0.0024645395094524095,0.4455187559247877,0.0478794300345378,0.959579494410361,0.022394112883815407
laplace_bounded,0.25,0.7958164305924615,0.029666148403620606,0.9522203604457559,0.01296065438253306,0.4894477925462333,0.05217284734365789,0.9457811387853953,0.02442354365374122
laplace_bounded,0.3,0.8235291367795275,0.016673425371391125,0.9655788777435056,0.0067356931640712575,0.5456982466088566,0.06457883844348888,0.9593102859862208,0.03048397689070544
laplace_bounded,0.35,0.8509773308345628,0.03016348379040243,0.9707393700893161,0.008637641878734769,0.592453869094736,0.0839733169694065,0.9897387533196366,0.004917341636991671
laplace_bounded,0.4,0.8866874139865043,0.032048932834763864,0.9811577069859209,0.006801881121912838,0.6915045789280102,0.08745742321988292,0.9873999560455817,0.006142182720430005
laplace_bounded,0.5,0.8663105775830205,0.039090708765697174,0.9789903992219521,0.0067614652910253275,0.6332945203806318,0.10145612276570556,0.9866468131464775,0.012102005762864822
laplace_bounded,0.75,0.918603279356172,0.0338403278466656,0.9902796837828682,0.002766735471531736,0.7735658061345624,0.10435178528704155,0.9919643481510853,0.012595332489458263
laplace_bounded,1.0,0.9607524693692197,0.007593505302370384,0.9953078882806201,0.0009685857560242376,0.8898566032394092,0.022076919078235877,0.9970929165876298,0.00036076375010665203
laplace_bounded,1.5,0.9636589148216625,0.008957273839472268,0.9959094246616149,0.0014860216510888956,0.900807166714745,0.02685541489255032,0.9942601530886277,0.005510913516648526
laplace_bounded,2.0,0.9604777597155634,0.007178227836069953,0.9961413715537822,0.0009436845240229913,0.9027554966385933,0.015134468093929808,0.9825364109543145,0.008652390805725052
laplace_bounded,4.0,0.965522533031093,0.006598648193824391,0.9962974542049482,0.0014138047592932987,0.9045149955347851,0.023796261843520416,0.9957551493535459,0.006055579746217304
laplace_bounded,8.0,0.9479519592988738,0.015219711923078394,0.9937096224014542,0.0018054415073852298,0.8567794509777363,0.0408177604244513,0.9933668045174309,0.003148998617763272
laplace_bounded,20.0,0.9558201998097923,0.006763654282654269,0.995035882345388,0.00115343608109284,0.8854051566181119,0.02757014302550693,0.9870195604658768,0.010369649041342764
