database,mechanism,eps,delta,util_n,naive_n,adapt_n,util_mean,util_std,naive_mean,naive_std,adapt_mean,adapt_std,gap
ecgid,laplace_bounded,2.0,1e-05,3,8,8,0.9604777597155634,0.007178227836069953,0.08606811145510837,0.033536714955225096,0.6613003095975233,0.036947322243414314,0.5752321981424149
ecgid,laplace_bounded,4.0,1e-05,3,8,8,0.965522533031093,0.006598648193824392,0.12430340557275543,0.038277574046736956,0.6779411764705882,0.01571667619646337,0.5536377708978327
ecgid,laplace_bounded,8.0,1e-05,3,8,8,0.9479519592988738,0.01521971192307841,0.39349845201238387,0.1253577810355818,0.6776702786377709,0.033091342115885505,0.284171826625387
ecgid,laplace_bounded,20.0,1e-05,3,8,8,0.9558201998097923,0.006763654282654269,0.46691176470588236,0.15030564038935523,0.6616099071207431,0.026911843730155694,0.19469814241486072
mitbih,gaussian_analytic,0.05,1e-05,3,6,3,0.26014357221879353,0.13354312021869363,0.04632435465768799,0.0007653300615592519,0.04666105499438833,0.0005604653298383316,0.00033670033670033656
mitbih,gaussian_analytic,0.1,1e-05,3,6,3,0.5133212399899408,0.05572577392659362,0.04625420875420875,0.0008629485778696497,0.05695847362514029,0.002872249912061833,0.01070426487093154
mitbih,gaussian_analytic,0.15,1e-05,8,6,8,0.6377282501822024,0.034326685654788455,0.04712401795735129,0.0014843642241802587,0.09907407407407408,0.004301056167460481,0.051950056116722786
mitbih,gaussian_analytic,0.175,1e-05,3,1,3,0.6310481111852335,0.00522179165564521,0.04663299663299663,0.0,0.13173400673400673,0.0046296296296296224,0.0851010101010101
mitbih,gaussian_analytic,0.2,1e-05,8,6,8,0.6728936369999883,0.019405624286260317,0.04737654320987655,0.0005890251382624051,0.1715803872053872,0.008067637161472793,0.12420384399551065
mitbih,gaussian_analytic,0.225,1e-05,8,1,8,0.6826708684983758,0.023997607959981092,0.0468013468013468,0.0,0.22402146464646466,0.012036401082101337,0.17722011784511787
mitbih,gaussian_analytic,0.25,1e-05,8,9,8,0.695719088876874,0.024811804792837584,0.0469884025439581,0.0016107918924150233,0.27139099326599325,0.013783245479951385,0.22440259072203517
mitbih,gaussian_analytic,0.3,1e-05,8,6,8,0.7184274806516537,0.05671896859374451,0.04750280583613917,0.0011695995932761412,0.3630260942760943,0.012693085160983256,0.31552328843995514
mitbih,gaussian_analytic,0.35,1e-05,8,1,8,0.730444664779343,0.05241712845981346,0.05277777777777778,0.0,0.46144781144781144,0.008305897865872757,0.4086700336700337
mitbih,gaussian_analytic,0.4,1e-05,8,6,8,0.7475441954827409,0.033799429795845375,0.04802188552188552,0.0022446513747912066,0.5301346801346801,0.012775849511118553,0.4821127946127946
mitbih,gaussian_analytic,0.5,1e-05,8,6,8,0.753613308623193,0.029247621558828336,0.05189393939393939,0.002990171029878415,0.6488531144781144,0.012706490146046424,0.5969591750841751
mitbih,gaussian_analytic,0.75,1e-05,8,9,8,0.8187291110298168,0.03905628268244834,0.0697998503554059,0.016181265772183002,0.7883627946127947,0.01128500129575509,0.7185629442573888
mitbih,gaussian_analytic,1.0,1e-05,3,6,3,0.8500162262486461,0.024916236095377492,0.07111391694725029,0.023188939673444812,0.8442480359147027,0.0023693953011835753,0.7731341189674523
mitbih,gaussian_analytic,1.5,1e-05,3,6,3,0.904920020569408,0.05847588730239942,0.09821829405162737,0.07350424411995207,0.9021885521885521,0.0038656439404730633,0.8039702581369247
mitbih,gaussian_analytic,2.0,1e-05,3,6,3,0.9230670819959165,0.0016105060547976081,0.1400813692480359,0.06126749098377339,0.9388327721661055,0.0033100543000631065,0.7987514029180696
mitbih,gaussian_analytic,4.0,1e-05,3,6,3,0.9595717127612957,0.011790841242959964,0.30178170594837267,0.11879479555316026,0.9646184062850729,0.006745220741331876,0.6628367003367002
mitbih,gaussian_analytic,8.0,1e-05,3,6,3,0.9623594625000899,0.028375182083374154,0.48542368125701457,0.17649415600234167,0.9750561167227834,0.0015551522402414476,0.4896324354657688
mitbih,gaussian_analytic,20.0,1e-05,3,6,3,0.951096059964855,0.016106457065557175,0.5792368125701459,0.16166977634352048,0.9747755331088664,0.0060654753478316704,0.3955387205387205
mitbih,laplace,0.05,0.0,3,6,3,0.5448667346303266,0.10585122017848021,0.04668911335578002,0.00046917070630928063,0.0675084175084175,0.006423833006174722,0.020819304152637483
mitbih,laplace,0.1,0.0,3,6,3,0.7011784534646196,0.029943289003741606,0.04768518518518519,0.0015083555031748556,0.31520763187429857,0.0023887538331978427,0.2675224466891134
mitbih,laplace,0.15,0.0,8,6,8,0.7592947759416968,0.054256262724430744,0.048905723905723904,0.0022929020996424634,0.5457175925925926,0.017087656857899498,0.49681186868686866
mitbih,laplace,0.175,0.0,3,1,3,0.7486054581580852,0.02145707735091106,0.04957912457912458,0.0,0.606986531986532,0.012275717490999403,0.5574074074074074
mitbih,laplace,0.2,0.0,8,6,8,0.7434878632389611,0.03412609878745722,0.05462962962962963,0.00794997909300848,0.6846170033670034,0.014291343574699708,0.6299873737373738
mitbih,laplace,0.225,0.0,8,1,8,0.784743540882413,0.03047940669503441,0.060521885521885525,0.0,0.7338594276094277,0.012438783690461357,0.6733375420875422
mitbih,laplace,0.25,0.0,8,9,8,0.7969406253902399,0.02860921742953852,0.055985783763561545,0.007851153690600117,0.7664351851851852,0.012783037439992175,0.7104494014216236
mitbih,laplace,0.3,0.0,8,6,8,0.8198210290925756,0.031244887390113905,0.05861391694725029,0.018827892255052495,0.8096696127946128,0.019015928813288716,0.7510556958473625
mitbih,laplace,0.35,0.0,8,1,8,0.8440874921089647,0.026791519612844896,0.06717171717171717,0.0,0.8515256734006734,0.008711954196464427,0.7843539562289562
mitbih,laplace,0.4,0.0,8,6,8,0.8452966131406325,0.03213147292938558,0.08156565656565656,0.026511811023608795,0.8753156565656566,0.007125857150525254,0.79375
mitbih,laplace,0.5,0.0,8,6,8,0.8775699729433992,0.02088047983885432,0.08650392817059484,0.05094968882847229,0.9037878787878788,0.008844165405562326,0.817283950617284
mitbih,laplace,0.75,0.0,8,6,8,0.9284951017940379,0.017831770380764087,0.20065937149270482,0.11782038481035075,0.9402041245791246,0.00515365592514336,0.7395447530864198
mitbih,laplace,1.0,0.0,3,6,3,0.9358046546774781,0.03134941478998402,0.175182379349046,0.10541045742170609,0.9553030303030302,0.0036487738723389044,0.7801206509539842
mitbih,laplace,1.5,0.0,3,6,3,0.9694787748195018,0.005703971544846671,0.2915824915824916,0.1327503686854707,0.9664702581369249,0.004310498587139994,0.6748877665544333
mitbih,laplace,2.0,0.0,3,6,3,0.9490640624047623,0.011662563665781,0.3362794612794613,0.12898859823549838,0.976374859708193,0.004997855011944396,0.6400953984287318
mitbih,laplace,4.0,0.0,3,6,3,0.9685805826771959,0.011857413694152679,0.5711139169472502,0.11271373069556154,0.9805555555555555,0.0010343607514683808,0.4094416386083053
mitbih,laplace,8.0,0.0,3,6,3,0.953323282799991,0.021360642804904014,0.8770061728395061,0.15101332362084605,0.9803591470258137,0.0063852964825793345,0.10335297418630762
mitbih,laplace,20.0,0.0,3,6,3,0.9652918312402785,0.009063390457611334,0.9803170594837263,0.005715089433995389,0.9795173961840629,0.0023589056741844653,-0.0007996632996634112
mitbih,laplace_bounded,0.05,1e-05,3,6,3,0.5360294033493521,0.1386697103799231,0.04769921436588104,0.0011086426343021529,0.07053872053872054,0.005069409065627462,0.022839506172839502
mitbih,laplace_bounded,0.1,1e-05,3,6,3,0.6752500065399308,0.045923474149949094,0.0475729517396184,0.0019116579830667935,0.3053591470258137,0.005148002073769254,0.2577861952861953
mitbih,laplace_bounded,0.15,1e-05,8,6,8,0.7391534287587028,0.027326572978022844,0.05007014590347924,0.0028162405300360418,0.5405829124579125,0.014380849208931285,0.4905127665544332
mitbih,laplace_bounded,0.175,1e-05,3,1,3,0.7106068734946751,0.019891053059095654,0.05664983164983165,0.0,0.6147867564534232,0.017321328940118345,0.5581369248035916
mitbih,laplace_bounded,0.2,1e-05,8,6,8,0.7627313858364682,0.020583070156655503,0.055415263748597086,0.0040807701138718235,0.6894570707070707,0.00779787029483461,0.6340418069584737
mitbih,laplace_bounded,0.225,1e-05,8,1,8,0.7890386722175152,0.015905217271379314,0.046885521885521884,0.0,0.7336700336700337,0.009089795595676776,0.6867845117845118
mitbih,laplace_bounded,0.25,1e-05,8,6,8,0.7958321992492101,0.02521528078638411,0.05966610549943883,0.008740668216709149,0.7679924242424243,0.009232629290557747,0.7083263187429855
mitbih,laplace_bounded,0.3,1e-05,8,9,8,0.8181659674564535,0.022900098854715716,0.06323419378974934,0.013295252551548498,0.8137415824915825,0.015548142920243466,0.7505073887018331
mitbih,laplace_bounded,0.35,1e-05,8,1,8,0.8292892520843185,0.03186944539767519,0.12382154882154882,0.0,0.8512205387205387,0.010531164739512449,0.7273989898989899
mitbih,laplace_bounded,0.4,1e-05,8,6,8,0.8579535378535208,0.04099091530765593,0.07885802469135803,0.04933071932859544,0.8693707912457913,0.012188037086942077,0.7905127665544333
mitbih,laplace_bounded,0.5,1e-05,8,6,8,0.8627451853018435,0.027761799288491602,0.11401515151515151,0.06534443526760607,0.9043034511784512,0.007157277914265398,0.7902882996632997
mitbih,laplace_bounded,0.75,1e-05,8,6,8,0.9083623719619045,0.03322040520788627,0.1685044893378227,0.06971145315172855,0.9412878787878788,0.0071237616496419185,0.7727833894500561
mitbih,laplace_bounded,1.0,1e-05,3,6,3,0.9607524693692197,0.00759350530237037,0.20986251402918074,0.0960865044298953,0.9522446689113355,0.009774584361629467,0.7423821548821548
mitbih,laplace_bounded,1.5,1e-05,3,6,3,0.9636589148216625,0.008957273839472256,0.21031144781144784,0.1101876062372111,0.9668630751964086,0.0012265708751063148,0.7565516273849607
mitbih,laplace_bounded,2.0,1e-05,3,6,3,0.9604777597155634,0.007178227836069953,0.38212682379349044,0.13781459500094906,0.9754769921436588,0.0034236950079295286,0.5933501683501683
mitbih,laplace_bounded,4.0,1e-05,3,6,3,0.965522533031093,0.006598648193824392,0.4963804713804714,0.17422606016295386,0.9809483726150393,0.003152166781558198,0.4845679012345679
mitbih,laplace_bounded,8.0,1e-05,3,6,3,0.9479519592988738,0.01521971192307841,0.7359848484848485,0.17478487716279176,0.9855499438832772,0.00219716856907428,0.24956509539842875
mitbih,laplace_bounded,20.0,1e-05,3,6,3,0.9558201998097923,0.006763654282654269,0.9780162738496072,0.010406902598827823,0.9821268237934905,0.005977221300551909,0.004110549943883268
